_id,id,name,description,flash_time,flash_yellow,operation_type,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
32,1547702695,TS13,Allegheny Ave - North Ave,23:00 - 6:00,,Fixed,Manchester,1,22,42003210700,1,22,1,1-8,40.45311019,-80.01943264
33,2105552586,TS130,Bouquet St - Fifth Ave,24 Hr stop and go,FIFTH AVE,Fixed,Central Oakland,8,4,42003040500,3,4,4,2-14,40.44252154,-79.95744107
34,79865242,TS131,Bouquet St - Forbes Ave,24 Hr stop and go,FORBES AVE,Fixed,Central Oakland,3,4,42003040500,3,4,4,2-14,40.44195697,-79.95644147
35,466970229,TS132,Braddock Ave - Forbes Ave,24 Hr stop and go,BRADDOCK AVE,Fixed / Ped Actuated,Point Breeze,9,14,42003140600,3,14,4,3-14,40.43966933,-79.89764546
36,1457717099,TS133,Braddock Ave - Hamilton Ave,24 Hr stop and go,HAMILTON AVE,Fully Actuated,Homewood South,9,13,42003130400,2,13,5,3-17,40.45317292,-79.89111169
37,113208382,TS135,Braddock Ave - Meade St,24 Hr stop and go,BRADDOCK AVE,Fixed / Ped Actuated,Point Breeze North,9,14,42003140500,2,14,4,3-14,40.44802004,-79.89453868
38,1160048083,TS136,Braddock Ave - Penn Ave,stop and go,PENN AVE,Fully Actuated,Point Breeze,9,14,42003140600,3,14,4,3-14,40.44714048,-79.89516529
39,1524907386,TS137,Carson St - S 22nd St,03:00 - 06:00,E CARSON ST,Fixed,South Side Flats,3,16,42003160900,3,16,3,4-24,40.42842055,-79.974642
40,287170893,TS138,Birmingham Brdg - Fifth Ave - Kirkpatrick St,24 Hr stop and go,FIFTH AVE,Actuated,West Oakland,6,4,42003040200,3,4,4,2-1,40.43772939,-79.97264902
41,1205419201,TS139,Birmingham Brg - Brady St - Forbes Ave,24 Hr stop and go,FORBES AVE,Fully Actuated,Bluff,6,4,42003010300,3,4,2,2-1,40.43715688,-79.97346118
42,568154260,TS14,Allegheny Ave - Pennsylvania Ave,23:00 - 6:00,,Fixed,California-Kirkbride,1,25,42003250700,1,25,1,1-8,40.45520827,-80.02011209
43,202507238,TS140,Second Ave - Brady St,24 Hr stop and go,SECOND AVE,Semi Actuated,South Oakland,6,4,42003980800,3,4,4,2-2,40.43580709,-79.97261281
44,946636336,TS141,Brierly Ln - Interboro Ave - West Run Rd,24 Hr stop and go,INTERBORO AVE,Fixed,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.37690263,-79.90933924
45,1417293667,TS142,Brighton Rd - California Ave - Charles St,24 Hr stop and go,BRIGHTON RD,Fixed / Ped Actuated,California-Kirkbride,6,25,42003250700,1,25,1,1-9,40.45966358,-80.01707294
46,1591950783,TS143,Brighton Rd - Davis Ave,24 Hr stop and go,BRIGHTON RD,Fixed,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48171495,-80.03396445
47,1155067887,TS144,Brighton Rd - Jacksonia St,23:00-6:00,BRIGHTON RD,Fixed,Central Northside,6,25,42003250300,1,25,1,1-21,40.45680492,-80.01557714
48,1770015732,TS145,Brighton Rd - Marshall Ave,24 Hr stop and go,BRIGHTON RD,Fully Actuated,Perry South,6,26,42003270400,1,26,1,1-9,40.46689545,-80.02501582
49,1642910405,TS146,Brighton Rd - North Ave (OSM),24 Hr stop and go,BRIGHTON RD,Fixed,Central Northside,1,22,42003220600,1,22,1,1-21,40.45397431,-80.01457128
50,197122036,TS147,Brighton Rd - Schimmer St - Westborn St,24 Hr stop and go,BRIGHTON RD,Fully Actuated,Marshall-Shadeland,1,27,42003271500,1,27,1,1-14,40.47365948,-80.02879609
51,1273941664,TS148,Brighton Rd - Termon Ave,24 Hr stop and go,BRIGHTON RD,Fixed,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48306069,-80.03542423
52,1598724684,TS149,Brighton Rd - Western Ave,23:00-6:00,BRIGHTON RD,Fixed,Allegheny West,1,22,42003562700,1,22,1,1-7,40.45241305,-80.01402147
53,1468195834,TS15,Allegheny Ave - Ridge Ave,24 Hr stop and go,,Fixed,Chateau,1,22,42003562700,1,22,1,1-8,40.44968628,-80.01831551
54,438328071,TS150,Brighton Rd - Woods Run Ave,24 Hr stop and go,BRIGHTON RD,Semi Actuated,Brighton Heights,1,27,42003270300,1,27,1,1-14,40.47649707,-80.03172145
55,2022833379,TS151,Broad St - East Liberty Blvd - Frankstown Ave,24 Hr stop and go,,Fully Actuated,Larimer,9,12,42003120800,2,12,5,3-10,40.46081444,-79.915792
56,173350294,TS152,Broad St - Larimer Ave,24 Hr. stop and go,BROAD ST,Semi Actuated,East Liberty,9,11,42003111500,2,11,5,3-10,40.46122199,-79.92083477
57,2075281814,TS153,Broad St - Centre Ave,24 Hr. stop and go,CENTRE AVE,Semi Actuated,East Liberty,9,11,42003111500,2,11,5,3-8,40.46167148,-79.92208005
58,2090425771,TS154,Brookline Blvd - Castlegate Ave,24 Hr stop and go,BROOKLINE BLVD,Actuated,Brookline,4,19,42003191800,5,19,6,4-26,40.3948568,-80.02154964
59,189748274,TS155,Brookline Blvd - Flatbush Ave,24 Hr stop and go,BROOKLINE BLVD,Actuated,Brookline,4,19,42003191800,5,19,6,4-26,40.39372381,-80.01997171
60,490332586,TS156,Brookline Blvd - Glenarm Ave,24 Hr stop and go,BROOKLINE BLVD,Actuated,Brookline,4,19,42003191900,5,19,6,4-26,40.39212404,-80.01774069
61,954686217,TS157,Brookline Blvd - Wenzell Ave -W Liberty Ave,24 Hr stop and go,W LIBERTY AVE,Fixed / Ped Actuated,Brookline,4,19,42003191900,5,19,6,4-26,40.39825736,-80.02627859
62,166264234,TS158,Brookline Blvd - Pioneer Ave,24 Hr stop and go,BROOKLINE BLVD,Actuated/PED,Brookline,4,19,42003191800,5,19,6,4-26,40.39607729,-80.02363934
63,614269418,TS159,Brookside Ave - W Liberty Ave,24 Hr stop and go,W LIBERTY AVE,Fixed / Ped Actuated,Beechview,4,19,42003191600,5,19,6,4-28,40.4104383,-80.01554063
64,2022050036,TS16,Allegheny River Blvd - Washington Blvd,24 Hr stop and go,,Fully Actuated,Highland Park,7,12,42003980100,2,12,5,3-15,40.48427707,-79.90784949
65,607546384,TS160,Browns Hill Rd -Parkview Blvd,24 Hr stop and go,BROWNS HILL RD,Semi Actuated,Squirrel Hill South,5,15,42003141400,3,15,4,2-12,40.41400099,-79.92306042
66,1236566133,TS161,Browns Hill Rd - Imogene Rd,24 Hr stop and go,BROWNS HILL RD,Semi Actuated,Squirrel Hill South,5,15,42003141400,3,15,4,2-12,40.41545648,-79.92491166
67,935294140,TS163,Brownsville Rd - Crailo Ave,24 Hr stop and go,BROWNSVILLE RD,Semi Actuated,Carrick,4,29,42003290200,3,29,3,4-12,40.39669764,-79.98766896
68,1968966319,TS164,Brownsville Rd - Knox Ave - Margaret St,24 Hr stop and go,BROWNSVILLE RD,Fixed,Knoxville,,30,42003481000,5,30,3,4-7,40.41072595,-79.99021219
69,1428136597,TS165,Brownsville Rd - Maytide St - Sankey Ave,24 Hr stop and go,BROWNSVILLE RD,Fixed,Carrick,4,29,42003290400,3,29,3,4-23,40.38435902,-79.97779814
70,1648755973,TS166,Brownsville Rd - Mckinley St,23:00 - 06:00,BROWNSVILLE RD,Fixed,Knoxville,,30,42003481000,5,30,3,4-7,40.40875321,-79.9911139
71,1864861521,TS167,Brownsville Rd - Nobles Ln,01:00 -- 06:00,BROWNSVILLE RD,Fixed,Carrick,4,29,42003290200,3,29,3,4-12,40.40384539,-79.99011628
72,681274432,TS168,Brownsville Rd - Parkfield St,12:00 AM - 06:00 AM,BROWNSVILLE RD,Fixed / Ped Actuated,Carrick,4,29,42003290200,3,29,3,4-12,40.39133896,-79.98660924
73,1848524786,TS169,Brushton Ave - Frankstown Ave,24 Hr stop and go,FRANKSTOWN AVE,Fixed,Homewood South,9,13,42003130400,2,13,5,3-17,40.45553452,-79.88809625
74,1188540770,TS17,Allegheny Ave - Western Ave,24 Hr stop and go,,Fixed,Chateau,1,22,42003980600,1,22,1,1-8,40.45152588,-80.01890037
75,368170496,TS170,Brushton Ave - Hamilton Ave,24 Hr stop and go,HAMILTON AVE,Fixed,Homewood South,9,13,42003130400,2,13,5,3-17,40.45273351,-79.88919316
76,161626785,TS171,Bryn Mawr Rd - Centre Ave,0:00-6:00,CENTRE AVE,Fixed,Upper Hill,8,4,42003050600,3,4,4,2-23,40.44898042,-79.95771355
77,1500771844,TS172,Buncher - Carson St,24 Hr stop and go,CARSON ST RAMP,Fully Actuated,South Shore,2,19,42003980700,5,19,3,1-17,40.44167613,-80.02143088
78,521606798,TS173,Butler St - 51st St - Stanton Ave,24 Hr stop and go,BUTLER ST,Fixed,Upper Lawrenceville,7,9,42003101100,2,9,2,3-5,40.47835523,-79.95570257
79,349413014,TS174,Butler St - 52nd St,24 Hr stop and go,BUTLER ST,Fixed,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48042235,-79.95445498
80,1035343189,TS175,Butler St - 40th St,24 Hr stop and go,BUTLER ST,Fully Actuated,Lower Lawrenceville,7,9,42003060300,2,9,2,3-3,40.46871496,-79.96229339
81,1732838793,TS176,Butler St - 44th St,24 Hr stop and go,BUTLER ST,Fixed,Central Lawrenceville,7,9,42003090100,2,9,2,3-3,40.47146906,-79.95979816
82,1182647053,TS177,Butler St - 46th St,24 Hr stop and go,BUTLER ST,Fixed,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.47282549,-79.95881069
83,696280378,TS178,Butler St - 54th St,24 Hr stop and go,BUTLER ST,Fixed,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48286312,-79.95121697
84,641680212,TS179,Butler St - 57th St,24 Hr stop and go,BUTLER ST,Semi Actuated,Upper Lawrenceville,7,10,42003101100,2,10,5,3-5,40.48516621,-79.94630157
85,450949955,TS18,Blvd of the Allies - Bates St,24 Hr stop and go,,Semi Actuated,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43513204,-79.95641096
86,1913335443,TS180,Butler St - Main St,24 Hr stop and go,BUTLER ST,Fixed,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.46980375,-79.96091343
87,965564505,TS181,Butler St - Mccandless Ave,24 Hr stop and go,BUTLER ST,Fixed,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48159828,-79.95344475
88,1604252664,TS182,Butler St - Penn Ave,24 Hr stop and go,,Fully Actuated,Lower Lawrenceville,7,6,42003060300,2,6,2,3-2,40.46268154,-79.96721699
89,1623738500,TS183,Butler St - 48th St - Plummer St,24 Hr stop and go,BUTLER ST,Fixed,Central Lawrenceville,7,9,42003981000,2,9,2,3-5,40.47586149,-79.95764492
90,1675513167,TS185,Butler St - 62nd St,24 Hr stop and go,BUTLER ST,Fully Actuated,Morningside,7,10,42003101400,2,10,5,3-7,40.48843721,-79.93715878
91,458331583,TS186,Butler St -37th St,24 Hr stop and go,BUTLER ST,Fixed,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46620306,-79.9647339
92,1793262027,TS187,California Ave - Davis Ave,24 Hr stop and go,CALIFORNIA AVE,Fixed,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48007504,-80.04108247
93,1603723371,TS191,California Ave - Termon Ave,24 Hr stop and go,,Fixed,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48191135,-80.04176745
94,10423150,TS192,Cape May Ave - W Liberty Ave,24 Hr stop and go,W LIBERTY AVE,Fixed / Ped Actuated,Brookline,4,19,42003191700,5,19,6,4-28,40.40845654,-80.01778297
95,452184134,TS193,Capital Ave - W Liberty Ave,24 Hr stop and go,W LIBERTY AVE,Fixed / Ped Actuated,Brookline,4,19,42003191700,5,19,6,4-28,40.40536288,-80.01880332
96,889974294,TS194,Carnegie Pl - Penn Ave,stop and go,PENN AVE,Actuated/PED,Point Breeze North,9,14,42003140500,3,14,4,3-14,40.44815998,-79.89820288
97,345272195,TS195,Carson St - Corliss St,24 Hr stop and go,CARSON ST RAMP,Fully Actuated,Esplen,2,20,42003562500,5,20,6,1-27,40.45288321,-80.03939135
98,1212786957,TS196,Carson St - S 18th St,24 Hr stop and go,E CARSON ST,Fixed,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42876672,-79.98056514
99,1446942669,TS197,Carson St - Main St,,,Fully Actuated,South Shore,2,19,42003980700,5,19,3,1-17,,
100,1922941271,TS198,Carson St - S 17th St,03:00 - 06:00,E CARSON ST,Fixed,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42884298,-79.98205031
101,307839969,TS199,Carson St - Tabor St,24 Hr stop and go,CARSON ST RAMP,Fully Actuated,Esplen,2,20,42003562500,5,20,6,1-27,40.46275205,-80.05189037
102,2011109930,TS2,Aiken Ave - Centre Ave - Liberty Ave,24 Hr stop and go,,Fully Actuated,Shadyside,8,7,42003070900,2,7,4,3-23,40.45591767,-79.93859438
103,626662746,TS20,Blvd of the Allies - Cherry Way,24 Hr stop and go,,Fixed,Central Business District,6,1,42003020100,6,1,2,1-4,40.43745252,-79.99931216
104,1275543187,TS200,Carson St - S 10th St,24 Hr stop and go,E CARSON ST,Fixed,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42871045,-79.98857658
105,481445183,TS201,Carson St - S 12th St,03:00 - 06:00,E CARSON ST,Fixed,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42875786,-79.98642537
106,1792407600,TS202,Carson St - S 20th St,03:00 - 06:00,E CARSON ST,Fixed,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42859587,-79.97763867
107,547113883,TS205,Carson St - West End Br - Main St,24 Hr stop and go,CARSON ST RAMP,Actuated,South Shore,2,19,42003980700,5,19,3,1-17,40.44426464,-80.02820606
108,262270363,TS206,Cedar Ave - North Ave,24 Hr stop and go,NORTH AVE,Fixed,East Allegheny,1,22,42003563200,1,22,1,1-6,40.45622694,-80.00262399
109,1510247005,TS207,Cedar Ave - East Ohio St,24 Hr stop and go,EAST OHIO ST,Actuated,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45332005,-80.00169657
110,350209643,TS208,Centre Ave - Craig St,24 Hr stop and go,CENTRE AVE,Fixed / Ped Actuated,North Oakland,8,5,42003562000,3,5,4,2-23,40.4518915,-79.95202093
111,1548280263,TS209,Centre Ave - Crawford St,24 Hr stop and go,CENTRE AVE,Fixed,Central Business District,6,3,42003020100,6,3,2,2-1,40.44103751,-79.98601351
112,274826791,TS21,Blvd of the Allies - Commonwealth Pl,24 Hr stop and go,,Fixed,Central Business District,6,1,42003020100,6,1,2,1-3,40.4403047,-80.00701499
113,1535156430,TS210,Centre Ave - Francis St,00:00 - 06:00,CENTRE AVE,Fixed,Middle Hill,6,5,42003050100,3,5,2,2-5,40.4471124,-79.96748785
114,1997983572,TS211,Centre Ave - S Graham St,24 Hr stop and go,CENTRE AVE,Fully Actuated,Shadyside,8,8,42003070900,2,8,4,3-22,40.45657258,-79.93649344
115,1285388780,TS212,Centre Ave - Kirkpatrick St - Mahon St,24 Hr stop and go,CENTRE AVE,Fixed,Middle Hill,6,5,42003050100,3,5,2,2-1,40.44531449,-79.97623874
116,2084743863,TS213,Centre Ave - Melwood Ave,24 Hr stop and go,CENTRE AVE,Fully Actuated,North Oakland,8,4,42003562000,3,4,4,2-23,40.45224148,-79.95086462
117,170752439,TS214,Centre Ave - Millvale Ave,24 Hr stop and go,CENTRE AVE,Fully Actuated,Shadyside,8,7,42003070900,2,7,4,2-23,40.45329867,-79.94734956
118,489596708,TS215,Centre Ave - Morewood Ave,24 Hr stop and go,CENTRE AVE,Fully Actuated,Shadyside,8,7,42003080400,2,7,5,2-23,40.45416769,-79.94445193
119,427262988,TS216,Centre Ave - Negley Ave,24 Hr stop and go,CENTRE AVE,Fully Actuated,Shadyside,8,7,42003070900,2,7,4,3-11,40.45726977,-79.93406042
120,1090595147,TS217,Centre Ave - Neville St,24 Hr stop and go,CENTRE AVE,Fully Actuated,North Oakland,8,4,42003562000,3,4,4,2-23,40.45259255,-79.94969125
121,1996392775,TS22,Blvd of the Allies - Craft Ave,24 Hr stop and go,,Semi Actuated,South Oakland,3,4,42003040900,3,4,4,2-14,40.43584438,-79.96153038
122,166260431,TS220,Centre Ave - Washington Pl,24 Hr stop and go,,Fixed,Central Business District,6,3,42003020100,6,3,2,2-4,40.44044607,-79.99145205
